player,team,primary_position,minutes,goals,assists,player_rating_100
Teboho Mokoena,South Africa,MF,270.0,1.0,0.0,23.0266789034905
Mostafa Ziko,Egypt,MF,370.0,2.0,1.0,22.92854423289206
Diney,Cabo Verde,DF,390.0,0.0,0.0,22.877205291921005
Joshua Kimmich,Germany,DF,351.0,0.0,2.0,22.809373210711005
Jorge Sánchez,Mexico,DF,348.0,0.0,1.0,22.72256791184827
Damián Bobadilla,Paraguay,MF,189.0,0.0,0.0,22.678247678247676
Mohannad Abu Taha,Jordan,DF,264.0,0.0,0.0,22.641714346259796
Ivan Perišić,Croatia,DF,360.0,1.0,1.0,22.587770120378817
Jhon Arias,Colombia,MF,377.0,1.0,0.0,22.572514173252266
Fredrik Aursnes,Norway,DF,304.0,0.0,0.0,22.560153662127345
Nicolas Jackson,Senegal,FW,234.0,0.0,1.0,22.53344481605351
Brahim Díaz,Morocco,MF,457.0,0.0,4.0,22.39094841035665
Abdukodir Khusanov,Uzbekistan,DF,270.0,0.0,0.0,22.224682724682722
Enner Valencia,Ecuador,FW,287.0,0.0,0.0,22.110286320254506
Gonzalo Plata,Ecuador,FW,360.0,1.0,0.0,22.059380032206118
Armando Obispo,Curaçao,DF,270.0,0.0,0.0,22.052447552447553
Guillermo Varela,Uruguay,DF,270.0,0.0,0.0,22.052447552447553
Kristoffer Nordfeldt,Sweden,GK,180.0,0.0,0.0,21.980198019801975
Thomas Meunier,Belgium,DF,190.0,0.0,1.0,21.863852394744843
Nicolas Raskin,Belgium,MF,341.0,0.0,2.0,21.853472295905043
Guéla Doué,Côte d'Ivoire,DF,277.0,0.0,0.0,21.830930802049934
Gustaf Lagerbielke,Sweden,DF,360.0,0.0,0.0,21.755747272051618
Yasin Ayari,Sweden,MF,339.0,2.0,0.0,21.631583541933676
Antonee Robinson,United States,DF,348.0,0.0,0.0,21.570814243228032
Willian Pacho,Ecuador,DF,360.0,0.0,0.0,21.56198270328705
Yan Diomandé,Côte d'Ivoire,MF,329.0,0.0,1.0,21.504878100622783
Julián Quiñones,Mexico,MF,410.0,4.0,1.0,21.46270767055497
Hassan Al Tambakti,Saudi Arabia,DF,212.0,0.0,0.0,21.311023881778596
Anthony Elanga,Sweden,MF,217.0,2.0,0.0,21.28546535278653
Nizar Al Rashdan,Jordan,MF,255.0,1.0,0.0,21.24980674341288
Lucas Bergvall,Sweden,MF,181.0,0.0,1.0,21.16794807402542
Abdülkerim Bardakcı,Türkiye,DF,265.0,0.0,0.0,21.162181542821408
Rayan,Brazil,MF,288.0,0.0,1.0,21.033331855342723
Maxi Araújo,Uruguay,MF,250.0,2.0,1.0,20.95942028985508
Abdulla Abdullaev,Uzbekistan,DF,180.0,0.0,0.0,20.8517871017871
Josip Šutalo,Croatia,DF,360.0,0.0,0.0,20.8517871017871
Nasser Al-Dawsari,Saudi Arabia,MF,207.0,0.0,0.0,20.7864599168947
Alexis Mac Allister,Argentina,MF,750.0,1.0,1.0,20.713490084794433
Mateo Kovačić,Croatia,MF,270.0,0.0,1.0,20.6898077767643
Ró-Ró,Qatar,DF,270.0,0.0,0.0,20.684171705910835
Casemiro,Brazil,MF,379.0,1.0,0.0,20.683526255397318
Pedri,Spain,MF,499.0,0.0,0.0,20.57922473100656
Ryan Gravenberch,Netherlands,MF,345.0,0.0,2.0,20.5316712273234
Ricardo Adé,Haiti,DF,270.0,0.0,0.0,20.511936533675662
Sead Kolašinac,Bosnia–Herz,DF,337.0,0.0,1.0,20.5056960843311
Julio Enciso,Paraguay,FW,386.0,1.0,2.0,20.494668468874373
Aubrey Modiba,South Africa,DF,346.0,0.0,0.0,20.493368154840887
Tyler Adams,United States,MF,341.0,0.0,0.0,20.431474683674093
Boualem Khoukhi,Qatar,DF,270.0,1.0,0.0,20.309052997458792
Nathan Patterson,Scotland,DF,185.0,0.0,0.0,20.288225288225288
Joel Ordóñez,Ecuador,DF,225.0,0.0,0.0,20.286402486402487
João Félix,Portugal,MF,201.0,0.0,0.0,20.27574955868272
Sidny Lopes Cabral,Cabo Verde,DF,285.0,1.0,0.0,20.218829733703874
Juninho Bacuna,Curaçao,MF,254.0,0.0,0.0,20.214632166874548
Richie Laryea,Canada,DF,429.0,0.0,0.0,20.201491019368795
Kevin Pina,Cabo Verde,MF,349.0,1.0,0.0,20.1735067805829
Piero Hincapié,Ecuador,DF,339.0,0.0,0.0,20.025166573839137
Adrien Rabiot,France,MF,585.0,0.0,1.0,19.880770660034873
Thomas Partey,Ghana,MF,270.0,0.0,0.0,19.85884485884486
Moteb Al-Harbi,Saudi Arabia,DF,188.0,0.0,0.0,19.840797500371966
Ao Tanaka,Japan,MF,193.0,0.0,0.0,19.722634878075294
Mbekezeli Mbokazi,South Africa,DF,360.0,0.0,0.0,19.696403837708182
Kristoffer Ajer,Norway,DF,480.0,0.0,0.0,19.55114903212729
Denzel Dumfries,Netherlands,DF,390.0,0.0,2.0,19.521548128571535
Hannes Delcroix,Haiti,DF,270.0,0.0,0.0,19.478891478891477
Aymeric Laporte,Spain,DF,727.0,0.0,1.0,19.418548678162335
João Neves,Portugal,MF,390.0,1.0,0.0,19.4105110794074
