player,team,minutes,interceptions,tackles_won,goals,assists,defensive_output
Marc Cucurella,Spain,750.0,7.0,4.0,0.0,2.0,0.522
Takehiro Tomiyasu,Japan,184.0,2.0,1.0,0.0,0.0,0.513586956521739
Michael Amir Murillo,Panama,270.0,1.0,3.0,0.0,0.0,0.5
Theo Hernández,France,257.0,3.0,1.0,0.0,0.0,0.49027237354085595
Renato Veiga,Portugal,450.0,6.0,1.0,0.0,0.0,0.49000000000000005
Chadi Riad,Morocco,344.0,4.0,1.0,0.0,1.0,0.4840116279069767
José Córdoba,Panama,270.0,1.0,3.0,0.0,0.0,0.4666666666666667
Jhon Lucumí,Colombia,478.0,5.0,2.0,0.0,0.0,0.4612970711297071
David Møller Wolfe,Norway,430.0,3.0,3.0,0.0,1.0,0.4604651162790697
Brandon Mechele,Belgium,570.0,4.0,4.0,0.0,0.0,0.4578947368421052
Michael Boxall,New Zealand,207.0,2.0,1.0,0.0,0.0,0.4565217391304347
Arthur Theate,Belgium,228.0,3.0,0.0,0.0,0.0,0.4539473684210526
Merih Demiral,Türkiye,180.0,1.0,1.0,0.0,0.0,0.44999999999999996
Lucas Herrington,Australia,210.0,2.0,1.0,0.0,0.0,0.44999999999999996
Victor Lindelöf,Sweden,356.0,4.0,1.0,0.0,0.0,0.4424157303370786
Gabriel Magalhães,Brazil,450.0,4.0,2.0,0.0,1.0,0.43999999999999995
Rafik Belghali,Algeria,331.0,1.0,3.0,1.0,0.0,0.4350453172205438
Moussa Niakhaté,Senegal,390.0,4.0,1.0,0.0,1.0,0.42692307692307696
Nico Elvedi,Switzerland,600.0,6.0,2.0,0.0,0.0,0.42000000000000004
Andy Robertson,Scotland,225.0,2.0,1.0,0.0,0.0,0.41999999999999993
Virgil van Dijk,Netherlands,390.0,3.0,1.0,1.0,1.0,0.4153846153846154
Ihsan Haddad,Jordan,260.0,2.0,1.0,0.0,1.0,0.398076923076923
William Saliba,France,479.0,6.0,0.0,0.0,0.0,0.3945720250521921
Vladimír Coufal,Czechia,270.0,2.0,1.0,0.0,1.0,0.3833333333333333
Ellyes Skhiri,Tunisia,250.0,2.0,1.0,0.0,0.0,0.378
Chancel Mbemba,Congo DR,360.0,1.0,3.0,0.0,1.0,0.375
Jonathan Tah,Germany,372.0,1.0,3.0,0.0,0.0,0.36290322580645157
Pau Cubarsí,Spain,750.0,4.0,4.0,0.0,0.0,0.36
Lucas Digne,France,463.0,2.0,3.0,0.0,0.0,0.35961123110151183
Ghislain Konan,Côte d'Ivoire,269.0,0.0,3.0,0.0,0.0,0.35130111524163565
Marquinhos,Brazil,450.0,3.0,2.0,0.0,0.0,0.35
Steve Kapuadi,Congo DR,180.0,1.0,1.0,0.0,0.0,0.35
Philipp Lienhart,Austria,180.0,1.0,1.0,0.0,0.0,0.35
Jerome Opoku,Ghana,270.0,1.0,2.0,0.0,0.0,0.35
Sebastián Cáceres,Uruguay,270.0,2.0,1.0,0.0,0.0,0.35
Akam Hashim,Iraq,270.0,2.0,1.0,0.0,0.0,0.35
Marin Pongračić,Croatia,270.0,0.0,3.0,0.0,0.0,0.35
Redouane Halhal,Morocco,180.0,1.0,1.0,0.0,0.0,0.35
Harry Souttar,Australia,390.0,4.0,0.0,0.0,0.0,0.34615384615384615
Marcus Pedersen,Norway,236.0,0.0,2.0,1.0,0.0,0.3432203389830508
Marc Guéhi,England,663.0,6.0,1.0,0.0,0.0,0.33257918552036203
César Montes,Mexico,314.0,2.0,1.0,0.0,0.0,0.32961783439490444
Gustavo Gómez,Paraguay,480.0,2.0,3.0,0.0,0.0,0.328125
Derrick Luckassen,Ghana,180.0,0.0,1.0,1.0,0.0,0.27499999999999997
Axel Tuanzebe,Congo DR,360.0,1.0,2.0,0.0,0.0,0.26249999999999996
Johan Vásquez,Mexico,360.0,2.0,1.0,0.0,0.0,0.26249999999999996
Gustavo Velásquez,Paraguay,246.0,1.0,1.0,0.0,0.0,0.25609756097560976
Issa Laye,Qatar,270.0,1.0,1.0,0.0,0.0,0.23333333333333334
Ali Nemati,IR Iran,270.0,0.0,2.0,0.0,0.0,0.23333333333333334
Jack Hendry,Scotland,270.0,0.0,2.0,0.0,0.0,0.23333333333333334
Moïse Bombito,Canada,193.0,1.0,0.0,0.0,0.0,0.20984455958549222
Omar Alderete,Paraguay,320.0,2.0,0.0,0.0,0.0,0.196875
Stjepan Radeljić,Bosnia–Herz,180.0,0.0,1.0,0.0,0.0,0.175
Hiroki Ito,Japan,360.0,0.0,2.0,0.0,0.0,0.175
Shogo Taniguchi,Japan,232.0,1.0,0.0,0.0,0.0,0.1357758620689655
Kevin Danso,Austria,241.0,0.0,1.0,0.0,0.0,0.13070539419087138
Robin Hranáč,Czechia,270.0,1.0,0.0,0.0,0.0,0.11666666666666667
Pathé Ciss,Senegal,184.0,0.0,0.0,0.0,0.0,0.04891304347826087
Jarell Quansah,England,197.0,0.0,0.0,0.0,0.0,0.0
Antonio Rüdiger,Germany,262.0,0.0,0.0,0.0,0.0,0.0
John Stones,England,330.0,0.0,0.0,0.0,0.0,0.0
